outcome,tau,gamma,se,t,ci_lo,ci_hi
sale_growth,0.1,4.12120440762572,1.13877078297299,3.61899380388606,1.88921367299867,6.35319514225277
sale_growth,0.25,4.57263995736155,0.543054322368382,8.42022569200671,3.50825348551952,5.63702642920358
sale_growth,0.5,5.37028363238491,0.310652131939289,17.2871294938817,4.76140545378391,5.97916181098592
sale_growth,0.75,6.50921712019851,0.49951692235592,13.0310242333702,5.5301639523809,7.48827028801611
sale_growth,0.9,7.67864746550416,1.07297120399235,7.15643386973779,5.57562390567916,9.78167102532916
d_log_debt,0.1,-2.36404447634978,1.95524097657228,-1.2090808778436,-6.19631679043145,1.46822783773188
d_log_debt,0.25,-0.695616289673761,1.02947112593274,-0.675702574021693,-2.71337969650193,1.32214711715441
d_log_debt,0.5,0.725808198943429,0.13905028274339,5.21975349221596,0.453269644766384,0.998346753120475
d_log_debt,0.75,4.64024294346053,0.933416491356639,4.97124594050866,2.81074662040152,6.46973926651954
d_log_debt,0.9,3.43048054927833,2.81561978058293,1.2183749286518,-2.0881342206642,8.94909531922087
d_leverage,0.1,0.0915109820732863,0.123755836848346,0.739447806291564,-0.151050458149472,0.334072422296045
d_leverage,0.25,-0.399544900190557,0.0529036105290736,-7.55231819142068,-0.503235976827541,-0.295853823553573
d_leverage,0.5,-0.502895990167681,0.044708622435838,-11.2482998305169,-0.590524890141924,-0.415267090193439
d_leverage,0.75,-0.66158062398086,0.207271787852457,-3.19185081016329,-1.06783332817168,-0.255327919790044
d_leverage,0.9,-0.877883286836623,0.695078958164842,-1.26299793214058,-2.24023804483971,0.484471471166467
d_log_cogs,0.1,1.16038736676554,1.17099168746198,0.990944153737395,-1.13475634065995,3.45553107419102
d_log_cogs,0.25,4.1957344932298,0.497002401368095,8.44208092693362,3.22160978654834,5.16985919991127
d_log_cogs,0.5,5.47630439017702,0.422389370243485,12.965062039843,4.64842122449979,6.30418755585425
d_log_cogs,0.75,6.61928658734448,0.315895079851011,20.954066744143,6.0001322308365,7.23844094385246
d_log_cogs,0.9,8.55539858660185,1.08609228831864,7.87722984374221,6.42665770149732,10.6841394717064
d_log_invt,0.1,1.99467166636959,1.33993941796965,1.48862824663524,-0.631609592850914,4.6209529255901
d_log_invt,0.25,4.65076359387318,0.67362560052829,6.90407785901519,3.33045741683773,5.97106977090863
d_log_invt,0.5,4.41861808949465,0.23395901932559,18.8862908650915,3.9600584116165,4.87717776737281
d_log_invt,0.75,6.40326787991836,0.564830626839536,11.3366159263483,5.29619985131287,7.51033590852385
d_log_invt,0.9,5.79922834093128,1.37496588842224,4.21772524668656,3.1042951996237,8.49416148223886
d_log_capex,0.1,4.10154212309912,2.99809393903201,1.3680499032073,-1.77472199740361,9.97780624360185
d_log_capex,0.25,6.0672383338896,1.38206809163593,4.38997063213282,3.35838487428317,8.77609179349602
d_log_capex,0.5,6.12366834412342,1.39677295755764,4.38415442609305,3.38599334731044,8.8613433409364
d_log_capex,0.75,7.1928881372557,1.51431090232771,4.74994145931275,4.22483876869339,10.160937505818
d_log_capex,0.9,1.76219352700207,2.50638245504056,0.703082453939997,-3.15031608487742,6.67470313888156
d_log_ppent,0.1,-3.67928783940373,1.12990392079957,-3.25628380579483,-5.89389952417088,-1.46467615463657
d_log_ppent,0.25,-0.687938201003721,0.406962957847666,-1.69041969972419,-1.48558559838515,0.109709196377704
d_log_ppent,0.5,1.59543457195643,0.260884651372515,6.11547886609214,1.0841006552663,2.10676848864656
d_log_ppent,0.75,1.43177951983231,0.547934574713413,2.6130483198312,0.357827753394019,2.5057312862706
d_log_ppent,0.9,2.74943218557986,0.755065634161904,3.64131548462225,1.26950354262253,4.22936082853719
d_log_oi,0.1,47.3606905525819,11.5772661377992,4.09083543462404,24.6692489224955,70.0521321826682
d_log_oi,0.25,16.6039729973403,1.87622374635898,8.84967639364022,12.9265744544767,20.2813715402039
d_log_oi,0.5,4.5451633062832,0.275480379996093,16.4990454360041,4.00522176149086,5.08510485107554
d_log_oi,0.75,7.69649982701871,0.96870355753248,7.945154910573,5.79784085425505,9.59515879978237
d_log_oi,0.9,7.11085313448042,4.61167603197457,1.5419238223106,-1.92803188818974,16.1497381571506
d_log_xint,0.1,0.411369818147704,2.11434831791374,0.194561044962359,-3.73275288496324,4.55549252125864
d_log_xint,0.25,2.03328551445175,0.633175017888222,3.21125353497554,0.792262479390837,3.27430854951267
d_log_xint,0.5,0.940223375749847,0.217088042360449,4.33106939252193,0.514730812723366,1.36571593877633
d_log_xint,0.75,5.0247973194223,1.13332834810571,4.43366419610076,2.80347375713511,7.24612088170948
d_log_xint,0.9,6.8214007724382,4.25424839967631,1.60343264698818,-1.51692609092738,15.1597276358038
d_log_rect,0.1,-0.89234269498344,1.46601264482541,-0.608686901939859,-3.76572747884125,1.98104208887437
d_log_rect,0.25,1.54908170860458,0.871692004634585,1.77709753028417,-0.159434620479208,3.25759803768837
d_log_rect,0.5,4.52614242755733,0.551653879626763,8.20467795970114,3.44490082348887,5.60738403162579
d_log_rect,0.75,4.22186502251413,0.622002914973803,6.78753253542541,3.00273930916548,5.44099073586279
d_log_rect,0.9,3.7306964027481,1.4726903483127,2.53325242948896,0.844223320055201,6.61716948544099
