outcome,coef,se,t,N
sale_growth,0.871217297970572,1.12100957800197,0.77717203765858,84740
d_log_cogs,-0.157467778079426,1.21856373664584,-0.12922408023799,84740
d_log_invt,4.88382227444799,1.44609721469387,3.37724340025223,83656
d_log_capex,3.00268316815722,2.68579251080967,1.11798776564911,83549
d_log_debt,-0.361426261653799,2.51439029498849,-0.143743102403063,84740
