term,coef,se,t,p,outcome,N,r2
mps_x_vi,7.37661056130217,1.36170685084448,5.41717959098719,7.96007897291636e-06,sale_growth,95284,0.309996890760218
vi_lag,1.26406805876464,0.295645601756527,4.27561936066154,0.000188420261680286,sale_growth,95284,0.309996890760218
log_size_lag,-0.260975502955297,0.00993374236242907,-26.2716198421197,9.03267813831031e-22,sale_growth,95284,0.309996890760218
leverage_lag,0.0472858174292629,0.00688345941059837,6.86948445667559,1.51371331358275e-07,sale_growth,95284,0.309996890760218
log_ppent_lag,0.0975453873794495,0.00652790586383636,14.9428299693837,3.70661515198381e-15,sale_growth,95284,0.309996890760218
log_cash_lag,0.0276153443540105,0.00186821272384773,14.7816916143974,4.89992836318352e-15,sale_growth,95284,0.309996890760218
mps_x_vi,3.22466808727544,2.8204186368372,1.14332959127357,0.262252606529296,d_log_debt,95284,0.11909524178096
vi_lag,0.475788200336681,0.50241636026311,0.946999815227983,0.351463659285326,d_log_debt,95284,0.11909524178096
log_size_lag,-0.0879790169752788,0.0098474451082501,-8.93419724691542,7.97700271899299e-10,d_log_debt,95284,0.11909524178096
leverage_lag,-0.203541821246976,0.00903545718047094,-22.5270085598886,6.37787485754042e-20,d_log_debt,95284,0.11909524178096
log_ppent_lag,-0.0257932173785949,0.00989723899010767,-2.60610230836856,0.014307538092605,d_log_debt,95284,0.11909524178096
log_cash_lag,0.0636170712234541,0.00509158883660792,12.4945421291788,3.37555590471676e-13,d_log_debt,95284,0.11909524178096
mps_x_vi,-1.80467708283544,1.20448240611999,-1.49830090806296,0.144862393011249,d_leverage,95284,0.338666612972672
vi_lag,-0.250759637695548,0.304297013595758,-0.824062105416088,0.416630556464898,d_leverage,95284,0.338666612972672
log_size_lag,-0.0219498915463253,0.0127492126608455,-1.72166643778218,0.095782362256859,d_leverage,95284,0.338666612972672
leverage_lag,-0.546281596007545,0.0213604784659559,-25.5744082174096,1.90987979850456e-21,d_leverage,95284,0.338666612972672
log_ppent_lag,0.0151975739314008,0.0110241803978637,1.37856723882584,0.178570751688381,d_leverage,95284,0.338666612972672
log_cash_lag,0.00575057351201246,0.00377206795889396,1.52451482175805,0.138212619742545,d_leverage,95284,0.338666612972672
mps_x_vi,6.55557577632967,1.22768833607899,5.33977197931763,9.86757283109364e-06,d_log_cogs,95284,0.194562510233015
vi_lag,0.631722070841826,0.284305668051931,2.2219819786584,0.0342460984131822,d_log_cogs,95284,0.194562510233015
log_size_lag,-0.139981715559385,0.00924517607061349,-15.1410545878437,2.63788758889329e-15,d_log_cogs,95284,0.194562510233015
leverage_lag,-0.00346672343835395,0.005933303458768,-0.584282173066837,0.563548493980937,d_log_cogs,95284,0.194562510233015
log_ppent_lag,0.0452563515642442,0.00597783638204495,7.57069091087477,2.40194253209458e-08,d_log_cogs,95284,0.194562510233015
log_cash_lag,0.0260362943053017,0.00232187238319034,11.2134906697701,4.61659194515175e-12,d_log_cogs,95284,0.194562510233015
mps_x_vi,4.0467652890957,1.85886343897862,2.17701053463037,0.037763249306529,d_log_invt,93824,0.152409985338965
vi_lag,0.350681668826828,0.287414328516443,1.22012590895156,0.232246667322653,d_log_invt,93824,0.152409985338965
log_size_lag,-0.0120945665967689,0.00634710553132317,-1.905524736761,0.0666694064049019,d_log_invt,93824,0.152409985338965
leverage_lag,-0.012119083370274,0.0038843945886267,-3.11994136892221,0.00406779227907377,d_log_invt,93824,0.152409985338965
log_ppent_lag,-0.0553697322238525,0.00631130309106737,-8.77310619136949,1.17778744832741e-09,d_log_invt,93824,0.152409985338965
log_cash_lag,0.0275150966691085,0.00253802302097738,10.841153307787,1.02400363189317e-11,d_log_invt,93824,0.152409985338965
mps_x_vi,11.0234600281294,4.56524937255683,2.41464575722741,0.022285668004997,d_log_capex,93593,0.190720610154168
vi_lag,2.38778410288776,0.592143727030862,4.03244008825464,0.00036630432128069,d_log_capex,93593,0.190720610154168
log_size_lag,0.119850841927444,0.00998558309010216,12.002387927275,9.01701472889847e-13,d_log_capex,93593,0.190720610154168
leverage_lag,-0.00597998608124483,0.00613906799875805,-0.974086959527829,0.338069036140486,d_log_capex,93593,0.190720610154168
log_ppent_lag,-0.367227944407695,0.0177856691224895,-20.6474067339611,6.91165947558967e-19,d_log_capex,93593,0.190720610154168
log_cash_lag,0.0806735644094895,0.00424507118587188,19.0040545557825,6.52376098735622e-18,d_log_capex,93593,0.190720610154168
mps_x_vi,2.78291256092058,1.18430871050019,2.34982022529009,0.0258007721388301,d_log_ppent,94901,0.301544731203373
vi_lag,0.917889746877573,0.247968509438082,3.70163836108701,0.000893557855313825,d_log_ppent,94901,0.301544731203373
log_size_lag,0.102468752549246,0.0067890939210682,15.0931411084564,2.86301300469404e-15,d_log_ppent,94901,0.301544731203373
leverage_lag,-0.011098993253627,0.00409117130590203,-2.71291335017316,0.0111015848900541,d_log_ppent,94901,0.301544731203373
log_ppent_lag,-0.234886757044851,0.00989775550938361,-23.7313153292346,1.51853245927312e-20,d_log_ppent,94901,0.301544731203373
log_cash_lag,0.0484441801522622,0.0027254623651852,17.7746648682746,3.91113772920958e-17,d_log_ppent,94901,0.301544731203373
mps_x_vi,13.3711205996234,9.24172624640797,1.44682067431075,0.158670652824157,d_log_oi,95284,0.11939909639314
vi_lag,1.18136845014672,0.823899711276329,1.43387409168603,0.16230345710233,d_log_oi,95284,0.11939909639314
log_size_lag,-0.275284365444865,0.0206662979110881,-13.3204489081311,6.8871552493339e-14,d_log_oi,95284,0.11939909639314
leverage_lag,0.0315044835147832,0.00894838358919099,3.52068987664302,0.0014436911019564,d_log_oi,95284,0.11939909639314
log_ppent_lag,-0.00951782979648302,0.0168735162371833,-0.564069140225145,0.577043843495898,d_log_oi,95284,0.11939909639314
log_cash_lag,-0.066623182708982,0.00784571376993028,-8.49166623492231,2.34574762255062e-09,d_log_oi,95284,0.11939909639314
mps_x_vi,6.31529290343118,3.32735169927599,1.89799380233997,0.0676913341033652,d_log_xint,95284,0.0818963059052807
vi_lag,-0.579972366235357,0.788279551709259,-0.735744527405004,0.467795686840739,d_log_xint,95284,0.0818963059052807
log_size_lag,-0.119364375924263,0.0136883278666732,-8.72015757416788,1.33972011041215e-09,d_log_xint,95284,0.0818963059052807
leverage_lag,-0.00858890521099687,0.0107320782812651,-0.80030213961358,0.430043422844738,d_log_xint,95284,0.0818963059052807
